chrom	gene	exonStart	exonEnd	strand
chr3	MUC20-OT1	195708153	195708435	+
chr3	MUC20-OT1	195708153	195708513	+
chr3	MUC20-OT1	195708153	195708841	+
chr3	MUC20-OT1	195708153	195708841	+
chr3	MUC20-OT1	195708153	195708841	+
chr3	MUC20-OT1	195708153	195708841	+
chr3	MUC20-OT1	195708177	195708435	+
chr3	MUC20-OT1	195708428	195708841	+
chr3	MUC20-OT1	195708428	195708841	+
chr3	MUC20-OT1	195708428	195708841	+
chr3	MUC20-OT1	195708177	195708841	+
chr3	MUC20-OT1	195708177	195708841	+
chr3	MUC20-OT1	195708177	195708841	+
chr3	MUC20-OT1	195708177	195708841	+
chr3	MUC20-OT1	195724679	195726572	+
chr3	THUMPD3-AS1	9390289	9391826	-
chr3	THUMPD3-AS1	9390289	9391826	-
chr3	THUMPD3-AS1	9390289	9391826	-
chr3	CAMK1	9757346	9757846	-
chr3	PRRT3	9945541	9948001	-
chr3	SEC13	10319138	10319316	-
chr3	ACAA1	38126161	38126700	-
chr3	ALS2CL	46674565	46675976	-
chr3	ALS2CL	46674565	46676402	-
chr3	PRSS43P	46756041	46756629	-
chr3	MYL3	46857871	46858272	-
chr3	PLXNB1	48419576	48420257	-
chr3	SHISA5	48469360	48469573	-
chr3	DALRD3	49015818	49016086	-
chr3	AMT	49416777	49417718	-
chr3	AMT	49419709	49420342	-
chr3	AMT	49419709	49420342	-
chr3	AMT	49416793	49417718	-
chr3	AMT	49416793	49417718	-
chr3	AMT	49418970	49419405	-
chr3	AMT	49416821	49417718	-
chr3	AMT	49416821	49417718	-
chr3	AC104452.1	49422103	49424874	-
chr3	AC104452.1	49422103	49424874	-
chr3	GMPPB	49723597	49723951	-
chr3	CAMKV	49857988	49859881	-
chr3	CAMKV	49859260	49859881	-
chr3	IFRD2	50289446	50289762	-
chr3	NPRL2	50349385	50349828	-
chr3	NPRL2	50349385	50349828	-
chr3	NPRL2	50347758	50348241	-
chr3	ABHD14B	51971459	51971892	-
chr3	TKT	53234982	53235174	-
chr3	SELENOK	53885825	53885912	-
chr3	PDHB	58430656	58430942	-
chr3	FAM107A	58565460	58567364	-
chr3	LMOD3	69122092	69122595	-
chr3	LINC00877	72035752	72036520	-
chr3	LINC00877	72060509	72061094	-
chr3	LINC00877	72035754	72036520	-
chr3	LINC00877	72035761	72036520	-
chr3	LINC00877	72059686	72061094	-
chr3	LINC00877	72059686	72061094	-
chr3	CBLB	105680991	105681818	-
chr3	LINC00635	107841895	107842212	-
chr3	LINC00635	107841661	107842212	-
chr3	LINC00635	107841663	107842212	-
chr3	LINC00635	107841667	107842212	-
chr3	LINC00635	107841668	107842212	-
chr3	LINC00635	107841671	107842212	-
chr3	LINC00635	107853872	107855229	-
chr3	LINC00635	107853872	107855229	-
chr3	ATG3	112532509	112534337	-
chr3	DRD3	114131117	114131400	-
chr3	CCDC14	123955842	123956115	-
chr3	CCDC14	123956354	123956795	-
chr3	LINC02614	125886835	125887226	-
chr3	SLC41A3	126006356	126007225	-
chr3	SLC41A3	126006362	126007225	-
chr3	RAB43	129121285	129121804	-
chr3	ASTE1	131024004	131025331	-
chr3	CPNE4	132034566	132035442	-
chr3	TOPBP1	133598174	133598630	-
chr3	PLSCR1	146521543	146522053	-
chr3	TM4SF1	149375442	149375769	-
chr3	SLC33A1	155829687	155829903	-
chr3	SLC33A1	155833467	155834041	-
chr3	VEPH1	157459621	157460355	-
chr3	B3GALNT1	161103426	161104406	-
chr3	B3GALNT1	161103426	161104406	-
chr3	MECOM	169144996	169146288	-
chr3	MECOM	169144996	169146288	-
chr3	MECOM	169144996	169146288	-
chr3	MCCC1	183071209	183071357	-
chr3	KLHL6	183487550	183492228	-
chr3	ABCC5	183983752	183987917	-
chr3	CLCN2	184355693	184357094	-
chr3	CLCN2	184355693	184357094	-
chr3	CLCN2	184355693	184357094	-
chr3	CLCN2	184354903	184355529	-
chr3	LINC02052	186456916	186457630	-
chr3	LINC02052	186455435	186455773	-
chr3	LINC02052	186456163	186456604	-
chr3	ATP13A5	193276749	193276830	-
chr3	LINC02028	194057636	194058147	-
chr3	LINC00887	194301198	194303465	-
chr4	CPLX1	792432	792608	-
chr4	HAUS3	2241519	2242121	-
chr4	HAUS3	2241519	2242121	-
chr4	LCORL	17873387	17878213	-
chr4	ARAP2	36073688	36073823	-
chr4	RPL9	39458193	39458440	-
chr4	AC114757.1	43992592	43993112	-
chr4	LINC02619	58987181	58987955	-
chr4	LINC02619	58987184	58987889	-
chr4	LINC02619	58987186	58987974	-
chr4	THAP9-AS1	82900076	82900566	-
chr4	MAPK10	86359657	86360060	-
chr4	MAPK10	86359657	86360083	-
chr4	CENPE	103136140	103136359	-
chr4	CYP2U1-AS1	107893066	107893637	-
chr4	COL25A1	108810720	108813929	-
chr4	COL25A1	109301722	109302367	-
chr4	ARSJ	113978436	113979647	-
chr4	LINC02262	117315151	117316148	-
chr4	METTL14-DT	118678043	118680583	-
chr4	MFSD8	127917824	127920836	-
chr4	MFSD8	127917888	127920836	-
chr4	MFSD8	127920556	127921771	-
chr4	MFSD8	127921523	127921963	-
chr4	LINC02466	129724172	129725789	-
chr4	PCDH18	137529601	137532494	-
chr4	PCDH18	137529601	137532494	-
chr4	LINC01095	146113641	146114465	-
chr4	PDGFC	156767772	156767990	-
chr4	PDGFC	156810836	156811017	-
chr4	NPY1R	163325855	163326705	-
chr4	NPY1R	163325855	163326705	-
chr4	NEK1	169612019	169612583	-
chr4	FBXO8	174262763	174263100	-
chr4	LINC01093	184897334	184898769	-
chr4	LINC01093	184897334	184898769	-
chr4	LINC01093	184897334	184898769	-
chr4	LINC01093	184897347	184897746	-
chr4	LINC01093	184897347	184897746	-
chr4	UVSSA	1383765	1388049	+
chr4	ADD1	2904763	2905015	+
chr4	NOP14-AS1	2934939	2937844	+
chr4	NSG1	4385856	4387173	+
chr4	NSG1	4417234	4419058	+
chr4	STX18-AS1	4648976	4649542	+
chr4	STX18-AS1	4648976	4649542	+
chr4	WFS1	6277450	6277687	+
chr4	LINC02517	8321956	8322243	+
chr4	LINC02517	8320116	8320522	+
chr4	LINC02517	8320138	8320522	+
chr4	AC005699.1	11770308	11770688	+
chr4	AC005699.1	11770308	11770688	+
chr4	AC005699.1	11770308	11770688	+
chr4	FAM200B	15686235	15687148	+
chr4	FAM200B	15686235	15687148	+
chr4	FAM200B	15686235	15690447	+
chr4	LIAS	39467517	39468427	+
chr4	TMEM33	41935128	41935529	+
chr4	TMEM33	41935128	41935529	+
chr4	SLAIN2	48382567	48382927	+
chr4	DCUN1D4	51886567	51887244	+
chr4	DANCR	52719867	52721683	+
chr4	REST	56910629	56911536	+
chr4	IGFBP7-AS1	57201132	57201820	+
chr4	STAP1	67606295	67607337	+
chr4	LINC01094	78680760	78682725	+
chr4	LINC01094	78680760	78682683	+
chr4	GPAT3	83536107	83536763	+
chr4	SPP1	87981474	87981798	+
chr4	AIMP1	106320865	106321451	+
chr4	LINC02263	117372363	117372735	+
chr4	LINC02263	117372363	117372850	+
chr4	LINC02263	117372363	117372850	+
chr4	SNHG8	118278754	118279137	+
chr4	SNHG8	118278754	118279137	+
chr4	SNHG8	118278754	118279137	+
chr4	SNHG8	118279388	118279820	+
chr4	EXOSC9	121813865	121816447	+
chr4	INTU	127685441	127687867	+
chr4	LARP1B	128107138	128108901	+
chr4	SNHG27	131773565	131774369	+
chr4	LINC02462	134455293	134455524	+
chr4	AC107223.1	143912330	143912638	+
chr4	AC107223.1	143912330	143912638	+
chr4	MMAA	145655146	145655568	+
chr4	TRIM2	153322647	153324148	+
chr4	TRIM2	153322647	153324148	+
chr4	TRIM2	153322647	153324148	+
chr4	GUCY1A1	155696755	155697122	+
chr4	LINC02433	157572535	157572725	+
chr4	CLCN3	169697188	169697734	+
chr4	LINC02431	171040607	171040834	+
chr4	HAND2-AS1	173530799	173531078	+
chr4	HAND2-AS1	173536847	173541931	+
chr4	HAND2-AS1	173536847	173541931	+
chr4	HAND2-AS1	173536847	173541931	+
chr4	HAND2-AS1	173536847	173541931	+
chr4	HAND2-AS1	173536847	173541931	+
chr4	HAND2-AS1	173536847	173541931	+
chr4	TRAPPC11	183708406	183708574	+
chr4	LINC02436	185055997	185056679	+
chr4	LINC02436	185071567	185072073	+
chr4	LINC02436	185071567	185072073	+
chr4	FAM149A	186163423	186163633	+
chr4	LINC02434	188160215	188161153	+
chr4	LINC02434	188160215	188161139	+
chr4	LINC02434	188160215	188161139	+
chr4	LINC01060	188485778	188486620	+
chr4	DUX4	190173773	190175284	+
chr4	DUX4	190173773	190175284	+
chr5	PDCD6	271620	271821	+
chr5	EXOC3	464289	465272	+
chr5	SLC9A3-AS1	479781	480216	+
chr5	SLC6A19	1216557	1216945	+
chr5	AC124852.1	1958581	1959189	+
chr5	AC124852.1	2097238	2097792	+
chr5	LINC01018	6585773	6586604	+
chr5	LINC01018	6586227	6587666	+
chr5	LINC01018	6586227	6587670	+
chr5	AC091951.3	7326065	7326603	+
chr5	LINC02217	17440113	17441082	+
chr5	LINC02241	20936150	20936712	+
chr5	LINC02241	20936150	20937373	+
chr5	LINC02241	20936810	20937257	+
chr5	LINC02241	20936818	20937257	+
chr5	LINC02241	20936818	20937693	+
chr5	LINC02241	20936818	20937693	+
chr5	PURPL	27493569	27494335	+
chr5	ZNF131	43161248	43161931	+
chr5	ZNF131	43161248	43161931	+
chr5	NNT	43647923	43649308	+
chr5	NNT	43647923	43649308	+
chr5	LINC01033	54401642	54403788	+
chr5	LINC01033	54401642	54403788	+
chr5	C5ORF64	61750336	61751770	+
chr5	AC092353.1	66322832	66323341	+
chr5	AC112206.2	67797349	67797756	+
chr5	AC112206.2	67797349	67797756	+
chr5	SLC30A5	69121746	69121895	+
chr5	RAD17	69372033	69372217	+
chr5	MARVELD2	69419370	69420531	+
chr5	BHMT2	79077479	79077612	+
chr5	COX7C	86619352	86619878	+
chr5	TMEM161B-AS1	88269467	88270585	+
chr5	TMEM161B-AS1	88269467	88270585	+
chr5	TMEM161B-AS1	88269467	88282106	+
chr5	HSD17B4	119492099	119493946	+
chr5	HSPA4	133101758	133101878	+
chr5	AC112178.1	136520174	136521145	+
chr5	AC112178.1	136520174	136521145	+
chr5	MYOT	137870440	137871007	+
chr5	WNT8A	138090527	138091541	+
chr5	KIF20A	138181421	138181511	+
chr5	KDM3B	138386021	138386621	+
chr5	REEP2	138445227	138445375	+
chr5	IK	140661619	140661708	+
chr5	WDR55	140668233	140668502	+
chr5	WDR55	140668890	140669248	+
chr5	HARS2	140693490	140693665	+
chr5	HARS2	140691452	140691756	+
chr5	RELL2	141636949	141638409	+
chr5	ARHGAP26	143207197	143207473	+
chr5	CARMN	149423185	149423639	+
chr5	HMGXB3	150024261	150024680	+
chr5	GPX3	151025339	151025493	+
chr5	G3BP1	151803884	151812785	+
chr5	G3BP1	151803884	151812785	+
chr5	G3BP1	151803884	151812785	+
chr5	G3BP1	151803884	151805319	+
chr5	PTTG1	160422301	160422893	+
chr5	GABRA1	161850596	161850884	+
chr5	GABRG2	162067464	162068106	+
chr5	GABRG2	162149107	162155485	+
chr5	GABRG2	162149107	162151753	+
chr5	GABRG2	162149107	162151753	+
chr5	CCNG1	163437570	163437804	+
chr5	NPM1	171406396	171407774	+
chr5	SIMC1	176295029	176295262	+
chr5	SIMC1	176345182	176345989	+
chr5	NSD1	177135086	177136030	+
chr5	FAM153CP	178046871	178047133	+
chr5	FAM153CP	178048664	178052687	+
chr5	FAM153CP	178038837	178039411	+
chr5	RUFY1	179559691	179560198	+
chr5	LINC00847	180834311	180835705	+
chr5	LINC00847	180834311	180835726	+
chr5	BTNL9	181053468	181054259	+
chr5	BRD9	868606	869119	-
chr5	AC026412.1	1632643	1632906	-
chr5	AC026412.1	1598919	1599827	-
chr5	FASTKD3	7866645	7868170	-
chr5	CTNND2	11082695	11082846	-
chr5	LINC02103	28285963	28286886	-
chr5	PRLR	35065088	35066102	-
chr5	LINC02106	50969216	50969577	-
chr5	SMIM15	61162216	61162468	-
chr5	CCDC125	69320236	69320580	-
chr5	CCDC125	69320236	69320583	-
chr5	TBCA	77691240	77693352	-
chr5	RPS23	82275208	82276255	-
chr5	LUCAT1	91314079	91314402	-
chr5	LUCAT1	91314079	91314402	-
chr5	LUCAT1	91314164	91314402	-
chr5	LUCAT1	91314079	91314386	-
chr5	LUCAT1	91314079	91314499	-
chr5	LUCAT1	91314079	91314377	-
chr5	LUCAT1	91310626	91312413	-
chr5	LUCAT1	91310626	91312495	-
chr5	LUCAT1	91310626	91313229	-
chr5	LUCAT1	91310626	91313229	-
chr5	LUCAT1	91312294	91313229	-
chr5	LUCAT1	91312294	91313229	-
chr5	LUCAT1	91312294	91313229	-
chr5	LUCAT1	91311645	91312413	-
chr5	NR2F1-AS1	93580466	93581199	-
chr5	LINC00491	102636142	102636434	-
chr5	AC099520.1	104739255	104739635	-
chr5	AC099520.1	104739257	104739635	-
chr5	AC011416.3	127227616	127228918	-
chr5	AC011416.3	127227616	127228918	-
chr5	HINT1	131159295	131162477	-
chr5	HINT1	131159295	131162676	-
chr5	FNIP1	131671504	131672924	-
chr5	ACSL6	131974892	131976240	-
chr5	ACSL6	131990852	131991813	-
chr5	HSPA9	138553755	138556592	-
chr5	APBB3	140561586	140562227	-
chr5	APBB3	140561586	140562227	-
chr5	APBB3	140561586	140561849	-
chr5	APBB3	140561586	140561849	-
chr5	NR3C1	143300484	143300763	-
chr5	NR3C1	143399655	143400852	-
chr5	PPP2R2B	146878001	146878785	-
chr5	SH3TC2	149026859	149028554	-
chr5	SH3TC2	149006880	149009001	-
chr5	SH3TC2	149006880	149009001	-
chr5	SH3TC2	149006880	149009001	-
chr5	SH3TC2	149026859	149028718	-
chr5	ZNF300	150894398	150898184	-
chr5	CCNJL	160254128	160255708	-
chr5	SLU7	160418595	160419081	-
chr5	LINC01938	165240461	165240757	-
chr5	LINC01938	165240461	165240757	-
chr5	AC008429.1	172957153	172958257	-
chr5	AC139491.6	176147538	176147870	-
chr5	CLK4	178603843	178603934	-
chr5	HNRNPH1	179623036	179624669	-
chr5	C5ORF60	179642325	179643210	-
chr5	C5ORF60	179642325	179643210	-
chr5	MRNIP	179837275	179840959	-
chr5	MRNIP	179853196	179853437	-
chr5	ZFP62	180847610	180851493	-
chr5	RACK1	181236928	181237719	-
chr6	AL133351.4	3026752	3027426	+
chr6	RIPK1	3083084	3085408	+
chr6	PRPF4B	4060412	4061147	+
chr6	PRPF4B	4060412	4061147	+
chr6	PRPF4B	4061654	4062299	+
chr6	HULC	8788821	8790434	+
chr6	HULC	8788821	8790434	+
chr6	U91328.1	25997902	26001775	+
chr6	BTN3A2	26368564	26368912	+
chr6	BTN2A3P	26422932	26423759	+
chr6	LINC00240	27023208	27023923	+
chr6	LINC00240	27023253	27023925	+
chr6	LINC00240	27023253	27023925	+
chr6	LINC00240	27023253	27023931	+
chr6	MOG	29670700	29672372	+
chr6	ATAT1	30642767	30644679	+
chr6	C6ORF136	30652647	30653109	+
chr6	MUCL3	30948546	30952499	+
chr6	CSNK2B	31665233	31665493	+
chr6	MPIG6B	31724745	31725074	+
chr6	MSH5-SAPCD1	31762419	31763168	+
chr6	MSH5-SAPCD1	31764265	31764851	+
chr6	CFB	31951554	31952084	+
chr6	SKIV2L	31969279	31969751	+
chr6	PPT2-EGFL8	32166137	32166620	+
chr6	PPT2-EGFL8	32166137	32166620	+
chr6	AL662789.1	32718028	32718440	+
chr6	HCG25	33249533	33249889	+
chr6	AL138889.1	33914087	33915115	+
chr6	AL138889.1	33914087	33914792	+
chr6	HMGA1	34236872	34237317	+
chr6	ZNF76	35290640	35291403	+
chr6	CNPY3	42935573	42935670	+
chr6	TJAP1	43504760	43506553	+
chr6	TJAP1	43500743	43501687	+
chr6	TJAP1	43503622	43506553	+
chr6	EFHC1	52438303	52438591	+
chr6	TRAM2-AS1	52578049	52578594	+
chr6	TRAM2-AS1	52577306	52578393	+
chr6	ADGRB3	69233033	69233416	+
chr6	FAM135A	70524930	70526698	+
chr6	AL391840.1	79420262	79420637	+
chr6	SLC35A1	87508419	87508596	+
chr6	LINC00222	108766995	108768456	+
chr6	FIG4	109786301	109789677	+
chr6	FIG4	109786301	109789677	+
chr6	FIG4	109786301	109788956	+
chr6	LINC01013	132131912	132132189	+
chr6	LINC00326	133088817	133090069	+
chr6	MYB	135196725	135197323	+
chr6	TNFAIP3	137875687	137875835	+
chr6	TNFAIP3	137878431	137879351	+
chr6	AL590617.2	138696596	138697288	+
chr6	AL592429.2	139286844	139287307	+
chr6	VDAC1P8	143503393	143504142	+
chr6	VDAC1P8	143505339	143506100	+
chr6	ADGB	146724185	146726197	+
chr6	SYTL3	158662749	158663378	+
chr6	QKI	163563419	163570145	+
chr6	QKI	163563419	163570145	+
chr6	TBP	170561790	170562233	+
chr6	SLC22A23	3271773	3273412	-
chr6	AL033523.1	3653220	3654795	-
chr6	TFAP2A	10409900	10410335	-
chr6	PRL	22294408	22294584	-
chr6	ZSCAN31	28353861	28354204	-
chr6	GPX6	28510750	28510904	-
chr6	TRIM27	28903001	28904665	-
chr6	RNF39	30070265	30071691	-
chr6	TRIM31	30102896	30103789	-
chr6	HCG18	30291536	30294964	-
chr6	HCG18	30291536	30294964	-
chr6	CCHCR1	31156730	31157089	-
chr6	CCHCR1	31156730	31157089	-
chr6	POU5F1	31165926	31166838	-
chr6	NCR3	31589781	31590126	-
chr6	LY6G6E	31712340	31712789	-
chr6	TSBP1	32330588	32330609	-
chr6	TSBP1	32366272	32366302	-
chr6	HLA-DQB2	32756097	32757304	-
chr6	DAXX	33318996	33319219	-
chr6	CUTA	33416549	33416776	-
chr6	BAK1	33575792	33575928	-
chr6	LEMD2	33771221	33772778	-
chr6	RPS10	34417453	34418424	-
chr6	TFEB	41705646	41705940	-
chr6	TRERF1	42268153	42269848	-
chr6	YIPF3	43513068	43513451	-
chr6	YIPF3	43513068	43513451	-
chr6	GTPBP2	43620489	43622167	-
chr6	GTPBP2	43620489	43621790	-
chr6	MRPS18A	43675201	43675617	-
chr6	MLIP-AS1	54047291	54047594	-
chr6	LGSN	63275950	63281220	-
chr6	EYS	65494662	65495607	-
chr6	AL589935.1	71310295	71310642	-
chr6	KHDC1	73262773	73263184	-
chr6	KHDC1	73241316	73241728	-
chr6	EEF1A1	73517514	73518264	-
chr6	SNHG5	85678135	85678748	-
chr6	SNHG5	85678135	85678748	-
chr6	SNHG5	85678135	85678748	-
chr6	SNHG5	85678135	85678748	-
chr6	SNHG5	85678135	85678736	-
chr6	SNHG5	85678135	85678733	-
chr6	SNHG5	85677423	85678032	-
chr6	SNHG5	85677423	85678032	-
chr6	SNHG5	85677423	85678032	-
chr6	SNHG5	85677423	85678032	-
chr6	SNHG5	85677423	85678748	-
chr6	SNHG5	85677423	85678748	-
chr6	SNHG5	85677423	85678748	-
chr6	SNHG5	85677423	85678748	-
chr6	SNHG5	85677423	85678748	-
chr6	SNHG5	85677423	85678188	-
chr6	SNHG5	85677423	85678188	-
chr6	SNHG5	85677423	85678188	-
chr6	SNHG5	85677794	85678032	-
chr6	SNHG5	85677794	85678032	-
chr6	SNHG5	85677794	85678032	-
chr6	SNHG5	85677794	85678188	-
chr6	SNHG5	85677794	85678188	-
chr6	SNHG5	85677794	85678748	-
chr6	SNHG5	85677794	85678748	-
chr6	SNHG5	85677794	85678748	-
chr6	SNHG5	85677006	85677492	-
chr6	SNHG5	85677953	85678748	-
chr6	SNHG5	85677953	85678748	-
chr6	SNHG5	85677423	85677875	-
chr6	SNHG5	85677423	85677875	-
chr6	SNHG5	85677078	85677492	-
chr6	SNHG5	85677953	85678736	-
chr6	SNHG5	85677078	85677875	-
chr6	SNHG5	85677953	85678188	-
chr6	SNHG5	85677790	85678032	-
chr6	MAP3K7	90550467	90552179	-
chr6	PNISR	99403828	99404702	-
chr6	LINC02532	106774776	106775000	-
chr6	CD164	109366513	109369017	-
chr6	SLC22A16	110424686	110425382	-
chr6	SLC22A16	110456537	110457017	-
chr6	LAMA4	112253955	112254538	-
chr6	EPB41L2	130869851	130870126	-
chr6	VNN3	132734252	132734692	-
chr6	VNN3	132722925	132723907	-
chr6	VNN2	132752460	132752749	-
chr6	TARID	133888603	133889212	-
chr6	SGK1	134174510	134174861	-
chr6	AL138828.1	136095993	136096288	-
chr6	BCLAF1	136275842	136276508	-
chr6	REPS1	138926400	138930098	-
chr6	PLAGL1	143964786	143966230	-
chr6	PLAGL1	143940301	143942663	-
chr6	PLAGL1	143964786	143966198	-
chr6	PLAGL1	143964786	143966198	-
chr6	EPM2A	145686121	145686296	-
chr6	SHPRH	145941622	145941874	-
chr6	SHPRH	145954689	145955354	-
chr6	STXBP5-AS1	146844318	146844712	-
chr6	STXBP5-AS1	146850824	146851331	-
chr6	RAET1K	150000852	150001668	-
chr6	SYNE1	152329729	152331890	-
chr6	SYNE1	152455885	152456044	-
chr6	SERAC1	158116184	158117821	-
chr6	SOD2	159679063	159682638	-
chr6	PACRG-AS3	163187672	163190982	-
chr6	PACRG-AS3	163187672	163190982	-
chr6	PACRG-AS3	163187672	163190982	-
chr6	PACRG-AS1	163320400	163324069	-
chr6	TCP10L3	167375965	167378092	-
chr6	TCP10L3	167375965	167378092	-
chr6	TCP10L3	167372967	167374451	-
chr6	TCP10L3	167372967	167374451	-
chr6	TCP10L3	167376545	167378092	-
chr6	TCP10L3	167376545	167378092	-
chr6	FRMD1	168066754	168067129	-
chr7	CYP2W1	988276	989640	+
chr7	ZFAND2A-DT	1162961	1163495	+
chr7	ZFAND2A-DT	1162961	1163495	+
chr7	IQCE	2571525	2571654	+
chr7	SDK1	4265123	4269000	+
chr7	USP42	6139091	6140195	+
chr7	ZDHHC4	6577433	6577720	+
chr7	C7ORF26	6599828	6600356	+
chr7	RSPH10B2	6757356	6757931	+
chr7	RSPH10B2	6754116	6754509	+
chr7	AC005532.1	7277584	7278071	+
chr7	AC004540.1	26493794	26495199	+
chr7	AC004947.1	26556473	26557207	+
chr7	AC004947.1	26554808	26555227	+
chr7	HOXA-AS2	27123459	27124610	+
chr7	AC005162.2	29000968	29001055	+
chr7	GARS1	30631447	30632437	+
chr7	GARS1	30631447	30632437	+
chr7	GARS1	30594877	30595143	+
chr7	GHRHR	30969532	30969964	+
chr7	EEPD1	36154132	36155202	+
chr7	CDK13	40078719	40078851	+
chr7	AEBP1	44110724	44111057	+
chr7	AEBP1	44111506	44112050	+
chr7	AEBP1	44111506	44112050	+
chr7	AC237221.1	57418627	57419532	+
chr7	AC237221.1	57418627	57419535	+
chr7	ASL	66075833	66076093	+
chr7	KCTD7	66638855	66639228	+
chr7	TYW1	67067284	67067403	+
chr7	SPDYE21	67286043	67286437	+
chr7	STAG3L4	67308576	67309139	+
chr7	NCF1	74782938	74783632	+
chr7	NSUN5P1	75412788	75415023	+
chr7	NSUN5P1	75415591	75416191	+
chr7	NSUN5P1	75415591	75416191	+
chr7	NSUN5P1	75415980	75416191	+
chr7	SPDYE5	75501361	75501755	+
chr7	POR	75986158	75986855	+
chr7	AC007003.1	76902479	76903112	+
chr7	MAGI2-AS3	79458846	79459640	+
chr7	STEAP2	90232336	90237631	+
chr7	PEG10	94663333	94665698	+
chr7	PEG10	94663333	94669692	+
chr7	ZKSCAN1	100023418	100023932	+
chr7	ZSCAN21	100056910	100057405	+
chr7	STAG3	100220113	100220673	+
chr7	PILRB	100353372	100354012	+
chr7	PILRB	100352563	100352914	+
chr7	PILRB	100352563	100353123	+
chr7	LRWD1	102465531	102466051	+
chr7	ARMC10	103083681	103084062	+
chr7	KMT2E	105090008	105090273	+
chr7	DUS4L-BCAP29	107563970	107564676	+
chr7	DUS4L-BCAP29	107563970	107564676	+
chr7	PTPRZ1	122010333	122013889	+
chr7	PTPRZ1	122010333	122013889	+
chr7	ASB15	123624568	123624814	+
chr7	IRF5	128947277	128947535	+
chr7	PRSS1	142751773	142752027	+
chr7	PRSS2	142773265	142773519	+
chr7	EPHB6	142863965	142864749	+
chr7	GSTK1	143264991	143265296	+
chr7	OR2F1	143959947	143964360	+
chr7	ARHGEF35-AS1	144239039	144239388	+
chr7	CUL1	148753975	148754150	+
chr7	SSPOP	149795538	149796515	+
chr7	SSPOP	149826449	149827985	+
chr7	SSPOP	149826912	149827985	+
chr7	ABCB8	151034272	151034599	+
chr7	ASIC3	151052165	151052474	+
chr7	AGAP3	151086741	151087072	+
chr7	RBM33	155738059	155740026	+
chr7	AC006372.1	157502806	157503908	+
chr7	AC073316.1	3158137	3158571	-
chr7	RSPH10B	5966862	5967437	-
chr7	ZNF12	6688432	6692703	-
chr7	ETV1	13989267	13989666	-
chr7	AC005165.1	25655205	25656231	-
chr7	AC005165.1	25655205	25656231	-
chr7	AC005165.1	25655205	25656231	-
chr7	AC005165.1	25655205	25656231	-
chr7	HNRNPA2B1	26190992	26192338	-
chr7	HNRNPA2B1	26190992	26192338	-
chr7	HNRNPA2B1	26190992	26192577	-
chr7	HNRNPA2B1	26190992	26192577	-
chr7	HNRNPA2B1	26190992	26192577	-
chr7	HNRNPA2B1	26189926	26192338	-
chr7	HNRNPA2B1	26190992	26191650	-
chr7	HNRNPA2B1	26191055	26192577	-
chr7	HNRNPA2B1	26191055	26192577	-
chr7	HNRNPA2B1	26191055	26192577	-
chr7	HNRNPA2B1	26191055	26192338	-
chr7	HNRNPA2B1	26191055	26191650	-
chr7	GARS1-DT	30576563	30578091	-
chr7	HERPUD2	35694183	35695135	-
chr7	MRPS24	43869307	43869517	-
chr7	POLM	44074130	44074530	-
chr7	POLM	44074130	44074530	-
chr7	POLM	44073782	44074530	-
chr7	POLM	44073782	44074530	-
chr7	MYL7	44140960	44141332	-
chr7	CAMK2B	44220615	44220901	-
chr7	CAMK2B	44220615	44220901	-
chr7	SNHG15	44983022	44984046	-
chr7	SNHG15	44983821	44984426	-
chr7	SNHG15	44983821	44984426	-
chr7	SNHG15	44983821	44986097	-
chr7	SNHG15	44983821	44986097	-
chr7	SNHG15	44983821	44986097	-
chr7	SNHG15	44984356	44986097	-
chr7	SNHG15	44984356	44986097	-
chr7	TBRG4	45108826	45109287	-
chr7	TNS3	47275153	47280190	-
chr7	LINC01446	53811507	53811931	-
chr7	LINC01446	53811507	53811942	-
chr7	LINC01446	53811507	53811942	-
chr7	LINC01446	53770079	53771607	-
chr7	LINC00174	66491030	66491471	-
chr7	NSUN5P2	72948891	72949102	-
chr7	MLXIPL	73593201	73594403	-
chr7	TMEM120A	75988082	75988341	-
chr7	SPDYE16	76533875	76534119	-
chr7	POMZP3	76618182	76618615	-
chr7	MAGI2	78255942	78256581	-
chr7	HGF	81755120	81757303	-
chr7	ABCB1	87600754	87601078	-
chr7	CYP51A1	92117043	92117212	-
chr7	SAMD9L	93145384	93146040	-
chr7	SGCE	94587777	94588732	-
chr7	SGCE	94587777	94588732	-
chr7	SGCE	94587777	94588732	-
chr7	SGCE	94587777	94588732	-
chr7	SGCE	94597748	94598004	-
chr7	CYP3A5	99662815	99664095	-
chr7	CYP3A5	99676114	99676576	-
chr7	MCM7	100099022	100099403	-
chr7	GIGYF1	100688591	100689555	-
chr7	ACHE	100893164	100894233	-
chr7	POLR2J3	102566996	102568184	-
chr7	NAPEPLD	103099775	103103554	-
chr7	TMEM168	112783697	112784953	-
chr7	HRAT17	112953281	112954768	-
chr7	HRAT17	112953283	112954768	-
chr7	HRAT17	112953283	112954768	-
chr7	HRAT17	112953383	112954768	-
chr7	HRAT17	112953383	112954768	-
chr7	TFEC	115939948	115942040	-
chr7	NDUFA5	123557403	123557781	-
chr7	POT1	124822385	124824074	-
chr7	PAX4	127610810	127610985	-
chr7	MKLN1-AS	131326805	131327746	-
chr7	PODXL	131508950	131509585	-
chr7	AC009275.1	134417971	134418974	-
